Name,group,address,Description
One Love Global Inc.,Non-profit organization,3525 S Martin Luther King Jr Blvd,
Work of Christ Community,Religious organization,"4828 Hagadorn Rd, East Lansing, MI 48823, United States",
City Rescue Mission of Lansing,Non-profit organization,"2216 S Cedar St, Lansing MI",
Child and Family Charities,Non-profit organization,"4287 Five Oaks Dr, Lansing MI",
Cristo Rey Community Center,Non-profit organization,"1717 N High St, Lansing MI",
Hope Christian Ministries Int,Religious organization,"5710 Ivan S, Lansing MI",
Bethany Christian Services,Non-profit organization,"612 W Lake Lansing Rd 600, East Lansing, MI 48823, United States",
The Salvation Army - Lansing,Non-profit organization,"525 N Pennsylvania Ave, Lansing MI",
Youth for Christ,Non-profit organization,"5222 Dumond Dr, Lansing MI",
Advent House Ministries,Non-profit organization,"743 N Martin Luther King Jr Blvd, Lansing MI",
Capital Region Community Foundation,Non-profit organization,"330 Marshall St, Lansing MI",
Abundant Grace Faith Church,Church,"5750 S Cedar St, Lansing MI",
Faith Fellowship Baptist Church,Baptist Church,"1001 Dakin St, Lansing MI",
Lansing Promise,Non-profit organization,"200 N Foster Ave, Lansing MI",
St Vincent Catholic Charities,Social services organization,"2800 W Willow St, Lansing MI",
Action of Greater Lansing,Association or organization,"201 W Miller Rd, Lansing MI",
Unitarian Universalist Church of Greater Lansing,Unitarian Universalist Church,"5509 S Pennsylvania Ave, Lansing MI",
Walk In Truth Ministries,Religious organization,"505 Seymour Ave, Lansing MI",
City Rescue Mission of Lansing,Non-profit organization,"607 E Michigan Ave, Lansing MI",
Faith Tabernacle of Lansing,Church,"921 W Mt Hope Ave, Lansing MI",
