Name,group,address,Description,latitude,longitude
One Love Global Inc.,Non-profit organization,3525 S Martin Luther King Jr Blvd,,42.69628,-84.566506
Work of Christ Community,Religious organization,"4828 Hagadorn Rd, East Lansing, MI 48823, United States",,42.721747,-84.46145
City Rescue Mission of Lansing,Non-profit organization,"2216 S Cedar St, Lansing MI",,42.708446,-84.549061
Child and Family Charities,Non-profit organization,"4287 Five Oaks Dr, Lansing MI",,42.681166,-84.516406
Cristo Rey Community Center,Non-profit organization,"1717 N High St, Lansing MI",,42.753802,-84.539533
Hope Christian Ministries Int,Religious organization,"5710 Ivan S, Lansing MI",,42.737604,-84.631609
Bethany Christian Services,Non-profit organization,"612 W Lake Lansing Rd 600, East Lansing, MI 48823, United States",,42.761066,-84.491614
The Salvation Army - Lansing,Non-profit organization,"525 N Pennsylvania Ave, Lansing MI",,42.738466,-84.53842
Youth for Christ,Non-profit organization,"5222 Dumond Dr, Lansing MI",,42.713829,-84.623604
Advent House Ministries,Non-profit organization,"743 N Martin Luther King Jr Blvd, Lansing MI",,42.742384,-84.56784
Capital Region Community Foundation,Non-profit organization,"330 Marshall St, Lansing MI",,42.737191,-84.525199
Abundant Grace Faith Church,Church,"5750 S Cedar St, Lansing MI",,42.672883,-84.547771
Faith Fellowship Baptist Church,Baptist Church,"1001 Dakin St, Lansing MI",,42.723816,-84.530503
Lansing Promise,Non-profit organization,"200 N Foster Ave, Lansing MI",,42.734876,-84.51695
St Vincent Catholic Charities,Social services organization,"2800 W Willow St, Lansing MI",,42.74883,-84.588864
Action of Greater Lansing,Association or organization,"201 W Miller Rd, Lansing MI",,42.668761,-84.55547
Unitarian Universalist Church of Greater Lansing,Unitarian Universalist Church,"5509 S Pennsylvania Ave, Lansing MI",,42.676959,-84.536362
Walk In Truth Ministries,Religious organization,"505 Seymour Ave, Lansing MI",,42.738949,-84.555934
City Rescue Mission of Lansing,Non-profit organization,"607 E Michigan Ave, Lansing MI",,42.733815,-84.544098
